value,description
1858,<a href="/wiki/Rudolf_Virchow" title="Rudolf Virchow">Rudolf Virchow</a>: <a href="/wiki/Cell_(biology)" title="Cell (biology)">cells</a> can only arise from pre-existing cells,
1859,<a href="/wiki/Charles_Darwin" title="Charles Darwin">Charles Darwin</a> and <a href="/wiki/Alfred_Wallace" title="Alfred Wallace" class="mw-redirect">Alfred Wallace</a>: Theory of <a href="/wiki/Evolution" title="Evolution">evolution</a> by <a href="/wiki/Natural_selection" title="Natural selection">natural selection</a>,
1861,<a href="/wiki/Louis_Pasteur" title="Louis Pasteur">Louis Pasteur</a>: <a href="/wiki/Germ_theory" title="Germ theory" class="mw-redirect">Germ theory</a>,
1865,<a href="/wiki/Gregor_Mendel" title="Gregor Mendel">Gregor Mendel</a>: <a href="/wiki/Mendelian_inheritance" title="Mendelian inheritance">Mendel's laws of inheritance</a>", basis for <a href="/wiki/Genetics" title="Genetics">genetics</a>,
1865,<a href="/wiki/Rudolf_Clausius" title="Rudolf Clausius">Rudolf Clausius</a>: Definition of <a href="/wiki/Entropy" title="Entropy">Entropy</a>,
1869,<a href="/wiki/Dmitri_Mendeleev" title="Dmitri Mendeleev">Dmitri Mendeleev</a>: <a href="/wiki/Periodic_table" title="Periodic table">Periodic table</a>,
1871,<a href="/wiki/John_William_Strutt",_3rd_Baron_Rayleigh" title="John William Strutt", 3rd Baron Rayleigh" class="mw-redirect">Lord Rayleigh</a>: <a href="/wiki/Diffuse_sky_radiation" title="Diffuse sky radiation">Diffuse sky radiation</a> (<a href="/wiki/Rayleigh_scattering" title="Rayleigh scattering">Rayleigh scattering</a>) explains why sky appears blue"
1873,<a href="/wiki/James_Clerk_Maxwell" title="James Clerk Maxwell">James Clerk Maxwell</a>: Theory of <a href="/wiki/Electromagnetism" title="Electromagnetism">electromagnetism</a>,
1875,<a href="/wiki/William_Crookes" title="William Crookes">William Crookes</a> invented the <a href="/wiki/Crookes_tube" title="Crookes tube">Crookes tube</a> and studied <a href="/wiki/Cathode_rays" title="Cathode rays" class="mw-redirect">cathode rays</a>,
1876,<a href="/wiki/Josiah_Willard_Gibbs" title="Josiah Willard Gibbs">Josiah Willard Gibbs</a> founded <a href="/wiki/Chemical_thermodynamics" title="Chemical thermodynamics">chemical thermodynamics</a>", the <a href="/wiki/Phase_rule" title="Phase rule" class="mw-redirect">phase rule</a>,
1877,<a href="/wiki/Ludwig_Boltzmann" title="Ludwig Boltzmann">Ludwig Boltzmann</a>: Statistical definition of <a href="/wiki/Entropy_(statistical_thermodynamics)" title="Entropy (statistical thermodynamics)">entropy</a>,
1887,<a href="/wiki/Albert_Michelson" title="Albert Michelson" class="mw-redirect">Albert Michelson</a> and <a href="/wiki/Edward_Morley" title="Edward Morley">Edward Morley</a>: <a href="/wiki/Michelson%E2%80%93Morley_experiment" title="Michelson–Morley experiment">lack of evidence for the aether</a>,
1895,<a href="/wiki/Wilhelm_Conrad_R%C3%B6ntgen" title="Wilhelm Conrad Röntgen" class="mw-redirect">Wilhelm Conrad Röntgen</a> discovers <a href="/wiki/X-rays" title="X-rays" class="mw-redirect">x-rays</a>,
1896,<a href="/wiki/Henri_Becquerel" title="Henri Becquerel">Henri Becquerel</a> discovers <a href="/wiki/Radioactivity" title="Radioactivity" class="mw-redirect">radioactivity</a>,
1897,<a href="/wiki/J.J._Thomson" title="J.J. Thomson" class="mw-redirect">J.J. Thomson</a> discovers the <a href="/wiki/Electron" title="Electron">electron</a> in <a href="/wiki/Cathode_rays" title="Cathode rays" class="mw-redirect">cathode rays</a>,
1898,<a href="/wiki/J.J._Thomson" title="J.J. Thomson" class="mw-redirect">J.J. Thomson</a> proposed the <a href="/wiki/Plum_pudding_model" title="Plum pudding model">Plum pudding model</a> of an atom,
1900,<a href="/wiki/Max_Planck" title="Max Planck">Max Planck</a>: <a href="/wiki/Planck%27s_law_of_black_body_radiation" title="Planck's law of black body radiation" class="mw-redirect">Planck's law of black body radiation</a>", basis for <a href="/wiki/Quantum_mechanics" title="Quantum mechanics">quantum theory</a>,
1905,<a href="/wiki/Albert_Einstein" title="Albert Einstein">Albert Einstein</a>: theory of <a href="/wiki/Special_relativity" title="Special relativity">special relativity</a>", explanation of <a href="/wiki/Brownian_motion" title="Brownian motion">Brownian motion</a>", and <a href="/wiki/Photoelectric_effect" title="Photoelectric effect">photoelectric effect</a>"
1906,<a href="/wiki/Walther_Nernst" title="Walther Nernst">Walther Nernst</a>: <a href="/wiki/Third_law_of_thermodynamics" title="Third law of thermodynamics">Third law of thermodynamics</a>,
1909,<a href="/wiki/Fritz_Haber" title="Fritz Haber">Fritz Haber</a>: <a href="/wiki/Haber_Process" title="Haber Process" class="mw-redirect">Haber Process</a> and also the <a href="/wiki/Oil_drop_experiment" title="Oil drop experiment">Oil drop experiment</a> by <a href="/wiki/Robert_Andrews_Millikan" title="Robert Andrews Millikan">Robert Andrews Millikan</a> to determine the charge on an electron,
1911,<a href="/wiki/Ernest_Rutherford" title="Ernest Rutherford">Ernest Rutherford</a>: <a href="/wiki/Atomic_nucleus" title="Atomic nucleus">Atomic nucleus</a,
1911,<a href="/wiki/Heike_Kamerlingh_Onnes" title="Heike Kamerlingh Onnes">Heike Kamerlingh Onnes</a>: <a href="/wiki/Superconductivity" title="Superconductivity">Superconductivity</a,
1912,<a href="/wiki/Alfred_Wegener" title="Alfred Wegener">Alfred Wegener</a>: <a href="/wiki/Continental_drift" title="Continental drift">Continental drift</a,
1912,<a href="/wiki/Max_von_Laue" title="Max von Laue">Max von Laue</a>&nbsp;: <a href="/wiki/X-ray_diffraction" title="X-ray diffraction" class="mw-redirect">x-ray diffraction</a,
1913,<a href="/wiki/Henry_Moseley" title="Henry Moseley">Henry Moseley</a>: defined <a href="/wiki/Atomic_number" title="Atomic number">atomic number</a,
1913,<a href="/wiki/Niels_Bohr" title="Niels Bohr">Niels Bohr</a>: <a href="/wiki/Bohr_model" title="Bohr model">Model of the atom</a,
1915,<a href="/wiki/Albert_Einstein" title="Albert Einstein">Albert Einstein</a>: theory of <a href="/wiki/General_relativity" title="General relativity">general relativity</a> – also <a href="/wiki/David_Hilbert" title="David Hilbert">David Hilbert</a,
1915,<a href="/wiki/Karl_Schwarzschild" title="Karl Schwarzschild">Karl Schwarzschild</a>: discovery of the Schwarzschild radius leading to the identification of <a href="/wiki/Black_holes" title="Black holes" class="mw-redirect">black holes</a,
1918,<a href="/wiki/Emmy_Noether" title="Emmy Noether">Emmy Noether</a>: <a href="/wiki/Noether%27s_theorem" title="Noether's theorem">Noether's theorem</a> – conditions under which the conservation laws are vali,
1920,<a href="/wiki/Arthur_Eddington" title="Arthur Eddington">Arthur Eddington</a>: <a href="/wiki/Stellar_nucleosynthesis" title="Stellar nucleosynthesis">Stellar nucleosynthesis</a,
1924,<a href="/wiki/Wolfgang_Pauli" title="Wolfgang Pauli">Wolfgang Pauli</a>: quantum <a href="/wiki/Pauli_exclusion_principle" title="Pauli exclusion principle">Pauli exclusion principle</a,
1924,<a href="/wiki/Edwin_Hubble" title="Edwin Hubble">Edwin Hubble</a>: the discovery that the <a href="/wiki/Milky_Way" title="Milky Way">Milky Way</a> is just one of many galaxie,
1925,<a href="/wiki/Erwin_Schr%C3%B6dinger" title="Erwin Schrödinger">Erwin Schrödinger</a>: <a href="/wiki/Schr%C3%B6dinger_equation" title="Schrödinger equation">Schrödinger equation</a> (<a href="/wiki/Quantum_mechanics" title="Quantum mechanics">Quantum mechanics</a>,
1927,<a href="/wiki/Werner_Heisenberg" title="Werner Heisenberg">Werner Heisenberg</a>: <a href="/wiki/Uncertainty_principle" title="Uncertainty principle">Uncertainty principle</a> (<a href="/wiki/Quantum_mechanics" title="Quantum mechanics">Quantum mechanics</a>,
1927,<a href="/wiki/Georges_Lema%C3%AEtre" title="Georges Lemaître">Georges Lemaître</a>: Theory of the <a href="/wiki/Big_Bang" title="Big Bang">Big Bang</a,
1928,<a href="/wiki/Paul_Dirac" title="Paul Dirac">Paul Dirac</a>: <a href="/wiki/Dirac_equation" title="Dirac equation">Dirac equation</a> (<a href="/wiki/Quantum_mechanics" title="Quantum mechanics">Quantum mechanics</a>,
1929,<a href="/wiki/Edwin_Hubble" title="Edwin Hubble">Edwin Hubble</a>: <a href="/wiki/Hubble%27s_law" title="Hubble's law">Hubble's law</a> of the expanding <a href="/wiki/Universe" title="Universe">universe</a,
1929,<a href="/wiki/Lars_Onsager" title="Lars Onsager">Lars Onsager</a>'s reciprocal relations", a potential fourth <a href="/wiki/Laws_of_thermodynamics" title="Laws of thermodynamics">law of thermodynamics</a,
1932,<a href="/wiki/James_Chadwick" title="James Chadwick">James Chadwick</a>: Discovery of the <a href="/wiki/Neutron" title="Neutron">neutron</a,
1934,<a href="/wiki/Clive_McCay" title="Clive McCay">Clive McCay</a>: Calorie Restriction extends the maximum lifespan of another species <a href="/w/index.php?title=Calorie_Restriction_research_history&amp;action=edit&amp;redlink=1" class="new" title="Calorie Restriction research history (page does not exist)">Calorie Restriction research history</a,
1938,<a href="/wiki/Otto_Hahn" title="Otto Hahn">Otto Hahn</a>", Lise Meitner and <a href="/wiki/Fritz_Strassmann" title="Fritz Strassmann">Fritz Strassmann</a>: <a href="/wiki/Nuclear_fission" title="Nuclear fission">Nuclear fission</a,
1943,<a href="/wiki/Oswald_Avery" title="Oswald Avery">Oswald Avery</a> proves that <a href="/wiki/DNA" title="DNA">DNA</a> is the genetic material of the <a href="/wiki/Chromosome" title="Chromosome">chromosome</a,
1947,<a href="/wiki/William_Shockley" title="William Shockley">William Shockley</a>", <a href="/wiki/John_Bardeen" title="John Bardeen">John Bardeen</a> and <a href="/wiki/Walter_Brattain" title="Walter Brattain" class="mw-redirect">Walter Brattain</a> invent the first transisto,
1948,<a href="/wiki/Claude_Elwood_Shannon" title="Claude Elwood Shannon" class="mw-redirect">Claude Elwood Shannon</a>: 'A mathematical theory of communication' a seminal paper in <a href="/wiki/Information_theory" title="Information theory">Information theory</a>,
1948,<a href="/wiki/Richard_Feynman" title="Richard Feynman">Richard Feynman</a>", <a href="/wiki/Julian_Schwinger" title="Julian Schwinger">Julian Schwinger</a>", <a href="/wiki/Sin-Itiro_Tomonaga" title="Sin-Itiro Tomonaga">Sin-Itiro Tomonaga</a> and <a href="/wiki/Freeman_Dyson" title="Freeman Dyson">Freeman Dyson</a>: <a href="/wiki/Quantum_electrodynamics" title="Quantum electrodynamics">Quantum electrodynamics</a"
1951,<a href="/wiki/George_Otto_Gey" title="George Otto Gey">George Otto Gey</a> propagates first cancer cell line", <a href="/wiki/HeLa" title="HeLa">HeLa</a,
1952,<a href="/wiki/Jonas_Salk" title="Jonas Salk">Jonas Salk</a>: developed and tested first <a href="/wiki/Polio_vaccine" title="Polio vaccine">polio vaccine</a,
1953,<a href="/wiki/Francis_Crick" title="Francis Crick">Crick</a> and <a href="/wiki/James_D._Watson" title="James D. Watson" class="mw-redirect">Watson</a>: helical structure of <a href="/wiki/DNA" title="DNA">DNA</a>", basis for <a href="/wiki/Molecular_biology" title="Molecular biology">molecular biology</a,
1963,<a href="/wiki/Lawrence_Morley" title="Lawrence Morley">Lawrence Morley</a>", <a href="/wiki/Fred_Vine" title="Fred Vine" class="mw-redirect">Fred Vine</a>", and <a href="/wiki/Drummond_Matthews" title="Drummond Matthews">Drummond Matthews</a>: Paleomagnetic stripes in ocean crust as evidence of <a href="/wiki/Plate_tectonics" title="Plate tectonics">plate tectonics</a> (<a href="/wiki/Vine-Matthews-Morley_hypothesis" title="Vine-Matthews-Morley hypothesis" class="mw-redirect">Vine-Matthews-Morley hypothesis</a>)"
1964,<a href="/wiki/Murray_Gell-Mann" title="Murray Gell-Mann">Murray Gell-Mann</a> and <a href="/wiki/George_Zweig" title="George Zweig">George Zweig</a>: postulate <a href="/wiki/Quarks" title="Quarks" class="mw-redirect">quarks</a> leading to the <a href="/wiki/Standard_model" title="Standard model" class="mw-redirect">standard model</a,
1964,<a href="/wiki/Arno_Penzias" title="Arno Penzias" class="mw-redirect">Arno Penzias</a> and <a href="/wiki/Robert_Woodrow_Wilson" title="Robert Woodrow Wilson">Robert Woodrow Wilson</a>: detection of <a href="/wiki/Cosmic_microwave_background_radiation" title="Cosmic microwave background radiation" class="mw-redirect">CMBR</a> providing experimental evidence for the <a href="/wiki/Big_Bang" title="Big Bang">Big Bang</a,
1965,<a href="/wiki/Leonard_Hayflick" title="Leonard Hayflick">Leonard Hayflick</a>: normal cells divide only a certain number of times: the <a href="/wiki/Hayflick_limit" title="Hayflick limit">Hayflick limit</a,
1967,<a href="/wiki/Jocelyn_Bell_Burnell" title="Jocelyn Bell Burnell">Jocelyn Bell Burnell</a> and <a href="/wiki/Antony_Hewish" title="Antony Hewish">Antony Hewish</a> discover first <a href="/wiki/Pulsar" title="Pulsar">pulsar</a,
1984,<a href="/wiki/Kary_Mullis" title="Kary Mullis">Kary Mullis</a> invents the <a href="/wiki/Polymerase_chain_reaction" title="Polymerase chain reaction">polymerase chain reaction</a>", a key discovery in <a href="/wiki/Molecular_biology" title="Molecular biology">molecular biology</a>,
1986,<a href="/wiki/Karl_Alexander_M%C3%BCller" title="Karl Alexander Müller" class="mw-redirect">Karl Müller</a> and <a href="/wiki/Johannes_Bednorz" title="Johannes Bednorz" class="mw-redirect">Johannes Bednorz</a>: Discovery of <a href="/wiki/High-temperature_superconductivity" title="High-temperature superconductivity">High-temperature superconductivity</a,
1994,<a href="/wiki/Andrew_Wiles" title="Andrew Wiles">Andrew Wiles</a> proves <a href="/wiki/Fermat%27s_Last_Theorem" title="Fermat's Last Theorem">Fermat's Last Theorem</a,
1995,<a href="/wiki/Michel_Mayor" title="Michel Mayor">Michel Mayor</a> and <a href="/wiki/Didier_Queloz" title="Didier Queloz">Didier Queloz</a> definitively observe the first <a href="/wiki/Extrasolar_planet" title="Extrasolar planet">extrasolar planet</a> around a <a href="/wiki/Main_sequence_star" title="Main sequence star" class="mw-redirect">main sequence star</a,
1995,<a href="/wiki/Eric_Cornell" title="Eric Cornell" class="mw-redirect">Eric Cornell</a>", <a href="/wiki/Carl_Wieman" title="Carl Wieman">Carl Wieman</a> and <a href="/wiki/Wolfgang_Ketterle" title="Wolfgang Ketterle">Wolfgang Ketterle</a> attained the first <a href="/wiki/Bose%E2%80%93Einstein_condensate" title="Bose–Einstein condensate">Bose-Einstein Condensate</a> with atomic gases", so called fifth state of matter at extremely low temperature
1997,<a href="/wiki/Roslin_Institute" title="Roslin Institute" class="mw-redirect">Roslin Institute</a>: <a href="/wiki/Dolly_the_sheep" title="Dolly the sheep" class="mw-redirect">Dolly the sheep</a> was cloned,
1997,<a href="/wiki/Collider_Detector_at_Fermilab" title="Collider Detector at Fermilab">CDF</a> and <a href="/wiki/D0_experiment" title="D0 experiment">DØ</a> experiments at <a href="/wiki/Fermilab" title="Fermilab">Fermilab</a>: <a href="/wiki/Top_quark" title="Top quark">Top quark</a>,
1998,<a href="/wiki/Gerson_Goldhaber" title="Gerson Goldhaber">Gerson Goldhaber</a> and <a href="/wiki/Saul_Perlmutter" title="Saul Perlmutter">Saul Perlmutter</a> observed that <a href="/wiki/Accelerating_universe" title="Accelerating universe">the expansion of the universe is accelerating</a>,
2001,The first draft of the <a href="/wiki/Human_genome" title="Human genome">human genome</a> is completed,
2003,<a href="/wiki/Grigori_Perelman" title="Grigori Perelman">Grigori Perelman</a> presents proof of the <a href="/wiki/Poincar%C3%A9_Conjecture" title="Poincaré Conjecture" class="mw-redirect">Poincaré Conjecture</a>,
2006,<a href="/wiki/Shinya_Yamanaka" title="Shinya Yamanaka">Shinya Yamanaka</a> generates first <a href="/wiki/Induced_pluripotent_stem_cell" title="Induced pluripotent stem cell">induced pluripotent stem cells</a,
2010,<a href="/wiki/J._Craig_Venter_Institute" title="J. Craig Venter Institute">J. Craig Venter Institute</a> creates the first synthetic genome for a bacterial cell.<sup id="cite_ref-5" class="reference"><a href="#cite_note-5"><span>[</span>5<span>]</span></a></sup>,
2010,The <a href="/wiki/Neanderthal_Genome_Project" title="Neanderthal Genome Project" class="mw-redirect">Neanderthal Genome Project</a> presented preliminary genetic evidence that interbreeding did likely take place and that a small but significant portion of Neanderthal admixture is present in modern non-African populations.<sup class="Template-Fact" style="white-space:nowrap;">[<i><a href="/wiki/Wikipedia:Citation_needed" title="Wikipedia:Citation needed"><span title="This claim needs references to reliable sources. (February 2013)">citation needed</span></a></i>]</sup>,
2012,<a href="/wiki/Higgs_boson" title="Higgs boson">Higgs boson</a> is discovered at <a href="/wiki/CERN" title="CERN">CERN</a> (confirmed to 99.999% certainty)",,
